Unit Code,Unit Title,Dept,Value,Link code,Instance
I00001,P2493FTC | MSc Risk Crisis and Resilience Management FT | Year 1 | Semester 1,SMI,0,I00001,Sem1
I00001,P2493FTC | MSc Risk Crisis and Resilience Management FT | Year 1 | Semester 1,SMI,0,I00001,Sem2
I00002,P2493PTC | MSc Risk Crisis and Resilience Management PT | Year 1 | Semester 1,SMI,0,I00002,Sem1
I00002,P2493PTC | MSc Risk Crisis and Resilience Management PT | Year 1 | Semester 1,SMI,0,I00002,Sem2
I00003,U1824PYC | BSc (Econ) (Hons) Economics | Year 1 | Semester 1,AEF,0,I00003,Sem1
I00003,U1824PYC | BSc (Econ) (Hons) Economics | Year 1 | Semester 1,AEF,0,I00003,Sem2
I00004,U1257FTC | BA (Hons) Accountancy and Financial Management (Top-up) | Year 3 | Se,AEF,0,I00004,Sem1
I00004,U1257FTC | BA (Hons) Accountancy and Financial Management (Top-up) | Year 3 | Se,AEF,0,I00004,Sem2
I00005,U1826PYC | BSc (Econ) (Hons) Economics Finance and Banking | Year 1 | Semester 1,AEF,0,I00005,Sem1
I00005,U1826PYC | BSc (Econ) (Hons) Economics Finance and Banking | Year 1 | Semester 1,AEF,0,I00005,Sem2
I00006,P2493FTC | MSc Risk Crisis and Resilience Management FT | Year 1 | Semester 2,SMI,0,I00006,Sem1
I00006,P2493FTC | MSc Risk Crisis and Resilience Management FT | Year 1 | Semester 2,SMI,0,I00006,Sem2
I00007,P2493PTC | MSc Risk Crisis and Resilience Management PT | Year 1 | Semester 2,SMI,0,I00007,Sem1
I00007,P2493PTC | MSc Risk Crisis and Resilience Management PT | Year 1 | Semester 2,SMI,0,I00007,Sem2
I00008,P2059PTC | PgDip Human Resource Management | Year 1 | Semester 1,OSP,0,I00008,Sem1
I00008,P2059PTC | PgDip Human Resource Management | Year 1 | Semester 1,OSP,0,I00008,Sem2
I00009,P2059PTC | PgDip Human Resource Management | Year 2 | Semester 1,OSP,0,I00009,Sem1
I00009,P2059PTC | PgDip Human Resource Management | Year 2 | Semester 1,OSP,0,I00009,Sem2
I00010,U2437PYC | BA (hons) Fashion and Textile Design | Year 1 | Semester 1,ADP,0,I00010,Sem1
I00010,U2437PYC | BA (hons) Fashion and Textile Design | Year 1 | Semester 1,ADP,0,I00010,Sem2
